number,value,datetime_start,datetime_complete,duration,params_aux_weight,params_batch_size,params_dropout,params_focal_alpha,params_focal_gamma,params_lr,params_pos_weight,params_warmup_ratio,params_weight_decay,state
0,0.5193370165745856,2026-03-03 00:09:56.006453,2026-03-03 00:26:48.690801,0 days 00:16:52.684348,0.4042555322448177,16,0.139206598523974,0.5610025588970582,0.8727832919453906,3.161345969490264e-05,2.6167770538517954,0.18242319528818818,0.004743678750136084,COMPLETE
1,0.35036496350364965,2026-03-03 00:26:48.692533,2026-03-03 00:36:28.353315,0 days 00:09:39.660782,0.05280409622411876,16,0.16747201836200015,0.5596988516102976,1.2993626687415152,3.0814555459435765e-05,3.538660388088839,0.1419116108910432,0.05052543669457742,COMPLETE
2,0.49473684210526314,2026-03-03 00:36:28.354932,2026-03-03 00:50:40.289417,0 days 00:14:11.934485,0.34745758851753794,8,0.2862466370894046,0.8363603616926905,0.25830149470771446,5.206052324605904e-06,2.250651196802792,0.17428169433697466,0.08943258354565536,COMPLETE
3,0.4642857142857143,2026-03-03 00:50:40.290970,2026-03-03 00:57:45.693803,0 days 00:07:05.402833,0.0780597189862735,8,0.26857525579102703,0.8260955646868373,1.6407797601831695,2.0853674784616183e-05,2.149959947384237,0.11176344140604336,0.033984005453852204,PRUNED
4,0.5139664804469274,2026-03-03 00:57:45.695396,2026-03-03 01:11:57.450972,0 days 00:14:11.755576,0.09713015396998298,8,0.1792145037808485,0.8049960265389526,1.3967309471705733,1.9498471444871178e-05,2.8497758082982383,0.08936659829667476,0.004395253624864881,COMPLETE
5,0.45528455284552843,2026-03-03 01:11:57.452483,2026-03-03 01:19:01.138897,0 days 00:07:03.686414,0.2808460586007276,8,0.22121155768211614,0.7356615471196469,1.1855614862830335,2.2998160056344777e-05,2.4957327319452767,0.12998132555468922,0.03851011992076523,PRUNED
6,0.5230769230769231,2026-03-03 01:19:01.140602,2026-03-03 01:30:47.582813,0 days 00:11:46.442211,0.2341237735652394,8,0.24280201729135245,0.6978618629073283,1.9466227684087052,9.134222201698284e-06,4.225163592799259,0.07710524931406917,0.05275251428644375,COMPLETE
7,0.46153846153846156,2026-03-03 01:30:47.584610,2026-03-03 01:37:57.722691,0 days 00:07:10.138081,0.05640581452104626,16,0.18414783800720935,0.5363720610393585,1.5175109720501032,6.823764920881302e-06,1.3802318696377798,0.07167421349560671,0.003360256261959336,PRUNED
8,0.0,2026-03-03 01:37:57.724200,2026-03-03 01:42:45.008572,0 days 00:04:47.284372,0.422377330600803,16,0.11480261697976146,0.9044407799774381,0.01931929566871249,5.8674978213804954e-06,1.0679423631209546,0.15373757613817557,0.0011891335114883712,PRUNED
9,0.0,2026-03-03 01:42:45.010142,2026-03-03 01:49:46.838451,0 days 00:07:01.828309,0.05967759665820834,8,0.1739633431619505,0.9105534077890303,0.5716111918072315,4.859049437263362e-05,1.5421902565368621,0.07735553307597626,0.03434042212797018,PRUNED
